electrode,state,delta_pct,theta_pct,low_alpha_pct,high_alpha_pct,alpha_pct,low_beta_pct,beta_pct,high_beta_pct,notes
Cz,eyes_open,26,18,14,12,13,9,10,7,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
Cz,eyes_closed,19,15,24,18,24,11,10,7,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
Cz,under_task,22,16,19,16,20,11,10,7,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
F3,eyes_open,25,20,14,14,15,9,9,5,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
F3,eyes_closed,18,18,21,20,23,10,10,5,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
F4,eyes_open,24,18,13,14,14,9,9,6,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
F4,eyes_closed,21,16,22,19,23,9,9,5,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
Fz,eyes_open,23,16,13,15,15,9,10,7,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
Fz,eyes_closed,19,15,21,16,22,10,9,6,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
O1,eyes_open,14,16,26,20,23,11,9,7,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
O1,eyes_closed,12,13,36,20,31,12,9,5,"Approximate from EEG distribution chart; expect about +/-1 to 2 percentage points."
