band,state,mean_z,p05_z,p95_z,front_mean_z,back_mean_z,left_mean_z,right_mean_z,notes
Delta,eyes_open,-0.62,-1.78,0.01,-0.54,-0.65,-0.70,-0.53,"Estimated from topomap colors against the -3 to +3 colorbar."
Delta,eyes_closed,-0.75,-1.75,-0.01,-1.03,-0.46,-0.75,-0.67,"Estimated from topomap colors against the -3 to +3 colorbar."
Theta,eyes_open,-0.82,-2.06,0.01,-1.02,-0.39,-0.55,-0.91,"Estimated from topomap colors against the -3 to +3 colorbar."
Theta,eyes_closed,-1.10,-2.71,-0.01,-1.48,-0.57,-0.91,-1.24,"Estimated from topomap colors against the -3 to +3 colorbar."
SlowWaves,eyes_open,-0.87,-2.49,-0.01,-1.12,-0.48,-0.69,-0.94,"Estimated from topomap colors against the -3 to +3 colorbar."
SlowWaves,eyes_closed,-1.11,-2.71,-0.01,-1.76,-0.51,-0.90,-1.18,"Estimated from topomap colors against the -3 to +3 colorbar."
LowAlpha,eyes_open,-0.36,-1.10,2.69,-0.89,1.02,0.17,-0.76,"Estimated from topomap colors against the -3 to +3 colorbar."
LowAlpha,eyes_closed,0.45,-0.04,1.78,0.43,0.46,0.55,0.25,"Estimated from topomap colors against the -3 to +3 colorbar."
HighAlpha,eyes_open,1.18,-0.04,2.92,1.71,0.66,0.87,1.39,"Estimated from topomap colors against the -3 to +3 colorbar."
HighAlpha,eyes_closed,0.60,-0.04,1.75,1.02,0.01,0.57,0.68,"Estimated from topomap colors against the -3 to +3 colorbar."
Alpha,eyes_open,0.69,-0.09,3.00,0.49,1.08,1.02,0.28,"Estimated from topomap colors against the -3 to +3 colorbar."
Alpha,eyes_closed,0.97,-0.04,2.74,1.60,0.40,0.86,1.01,"Estimated from topomap colors against the -3 to +3 colorbar."
LowBeta,eyes_open,-0.40,-1.42,0.38,-0.68,0.09,-0.51,-0.09,"Estimated from topomap colors against the -3 to +3 colorbar."
LowBeta,eyes_closed,-0.50,-0.92,-0.01,-0.69,-0.22,-0.46,-0.51,"Estimated from topomap colors against the -3 to +3 colorbar."
Beta,eyes_open,0.68,-1.05,2.69,1.06,-0.04,0.15,1.10,"Estimated from topomap colors against the -3 to +3 colorbar."
Beta,eyes_closed,0.33,-0.04,1.29,0.31,0.16,0.05,0.43,"Estimated from topomap colors against the -3 to +3 colorbar."
HighBeta,eyes_open,0.85,-0.53,2.71,0.93,0.34,0.49,0.80,"Estimated from topomap colors against the -3 to +3 colorbar."
HighBeta,eyes_closed,0.06,-0.75,0.45,0.19,-0.14,0.01,0.02,"Estimated from topomap colors against the -3 to +3 colorbar."
